from,to
forceattrs,inferattrs
inferattrs,callsite-splitting
callsite-splitting,ipsccp
ipsccp,called-value-propagation
called-value-propagation,globalopt
globalopt,mem2reg
mem2reg,deadargelim
deadargelim,instcombine
instcombine,simplifycfg
simplifycfg,prune-eh
prune-eh,inline
inline,functionattrs
functionattrs,argpromotion
argpromotion,sroa
sroa,early-cse-memssa
early-cse-memssa,speculative-execution
speculative-execution,jump-threading
jump-threading,correlated-propagation
correlated-propagation,simplifycfg
simplifycfg,aggressive-instcombine
aggressive-instcombine,instcombine
instcombine,libcalls-shrinkwrap
libcalls-shrinkwrap,pgo-memop-opt
pgo-memop-opt,tailcallelim
tailcallelim,simplifycfg
simplifycfg,reassociate
reassociate,loop-simplify
loop-simplify,lcssa-verification
lcssa-verification,lcssa
lcssa,loop-rotate
loop-rotate,licm
licm,loop-unswitch
loop-unswitch,simplifycfg
simplifycfg,instcombine
instcombine,loop-simplify
loop-simplify,lcssa-verification
lcssa-verification,lcssa
lcssa,indvars
indvars,loop-idiom
loop-idiom,loop-deletion
loop-deletion,loop-unroll
loop-unroll,mldst-motion
mldst-motion,gvn
gvn,memcpyopt
memcpyopt,sccp
sccp,demanded-bits
demanded-bits,bdce
bdce,instcombine
instcombine,jump-threading
jump-threading,correlated-propagation
correlated-propagation,dse
dse,loop-simplify
loop-simplify,lcssa-verification
lcssa-verification,lcssa
lcssa,licm
licm,adce
adce,simplifycfg
simplifycfg,instcombine
instcombine,barrier
barrier,elim-avail-extern
elim-avail-extern,rpo-functionattrs
rpo-functionattrs,globalopt
globalopt,globaldce
globaldce,float2int
float2int,loop-simplify
loop-simplify,lcssa-verification
lcssa-verification,lcssa
lcssa,loop-rotate
loop-rotate,loop-distribute
loop-distribute,demanded-bits
demanded-bits,loop-vectorize
loop-vectorize,loop-simplify
loop-simplify,loop-load-elim
loop-load-elim,instcombine
instcombine,simplifycfg
simplifycfg,demanded-bits
demanded-bits,slp-vectorizer
slp-vectorizer,instcombine
instcombine,loop-simplify
loop-simplify,lcssa-verification
lcssa-verification,lcssa
lcssa,loop-unroll
loop-unroll,instcombine
instcombine,loop-simplify
loop-simplify,lcssa-verification
lcssa-verification,lcssa
lcssa,licm
licm,alignment-from-assumptions
alignment-from-assumptions,strip-dead-prototypes
strip-dead-prototypes,globaldce
globaldce,constmerge
constmerge,loop-simplify
loop-simplify,lcssa-verification
lcssa-verification,lcssa
lcssa,loop-sink
loop-sink,instsimplify
instsimplify,div-rem-pairs
div-rem-pairs,simplifycfg
simplifycfg,verify
